,document_no,start,end,label,drug,rating,review,sentence
0,0,74,80,bad effect,Benzoyl peroxide / clindamycin,1,40 yrs old last year tried the progesterone only pill for just 5 months ceased that pill 4 months ago but ever since my once near perfect skin has been plagued by constant hormonal spots The doctor prescribed Duac said it could cause redness drying I used this for 2 nights only last Monday Tuesday applying just a very thin layer to all areas affected by spots as per the directions By Wednesday afternoon my skin had started going pink itchy so I didn t use it again Woke up Thursday morning with red itchy burning patches all over like port stain birthmarks it is still driving me crazy now trying not to scratch using moisturisers but to no joy 5 days it has been like this wish I had not used it,my skin had started going pink itchy
1,0,82,87,stopped using,Benzoyl peroxide / clindamycin,1,40 yrs old last year tried the progesterone only pill for just 5 months ceased that pill 4 months ago but ever since my once near perfect skin has been plagued by constant hormonal spots The doctor prescribed Duac said it could cause redness drying I used this for 2 nights only last Monday Tuesday applying just a very thin layer to all areas affected by spots as per the directions By Wednesday afternoon my skin had started going pink itchy so I didn t use it again Woke up Thursday morning with red itchy burning patches all over like port stain birthmarks it is still driving me crazy now trying not to scratch using moisturisers but to no joy 5 days it has been like this wish I had not used it,I didn t use it again
2,0,93,102,unbearable effect,Benzoyl peroxide / clindamycin,1,40 yrs old last year tried the progesterone only pill for just 5 months ceased that pill 4 months ago but ever since my once near perfect skin has been plagued by constant hormonal spots The doctor prescribed Duac said it could cause redness drying I used this for 2 nights only last Monday Tuesday applying just a very thin layer to all areas affected by spots as per the directions By Wednesday afternoon my skin had started going pink itchy so I didn t use it again Woke up Thursday morning with red itchy burning patches all over like port stain birthmarks it is still driving me crazy now trying not to scratch using moisturisers but to no joy 5 days it has been like this wish I had not used it,red itchy burning patches all over like port stain birthmarks
3,0,114,119,having to remedy side effects,Benzoyl peroxide / clindamycin,1,40 yrs old last year tried the progesterone only pill for just 5 months ceased that pill 4 months ago but ever since my once near perfect skin has been plagued by constant hormonal spots The doctor prescribed Duac said it could cause redness drying I used this for 2 nights only last Monday Tuesday applying just a very thin layer to all areas affected by spots as per the directions By Wednesday afternoon my skin had started going pink itchy so I didn t use it again Woke up Thursday morning with red itchy burning patches all over like port stain birthmarks it is still driving me crazy now trying not to scratch using moisturisers but to no joy 5 days it has been like this wish I had not used it,using moisturisers but to no joy
4,1,17,19,bad effect,femhrt,1,Recently switched from birth conrtol which kept my skin in shape to FemHRT for hormone replacement and guess what Acne I will be on the phone at the crack of dawn to my gynecologist to change me to something that will help my skin as birth control always did This is absolutely unacceptable to me,guess what Acne
5,1,35,43,stopped using,femhrt,1,Recently switched from birth conrtol which kept my skin in shape to FemHRT for hormone replacement and guess what Acne I will be on the phone at the crack of dawn to my gynecologist to change me to something that will help my skin as birth control always did This is absolutely unacceptable to me,change me to something that will help my skin
6,1,49,54,negative experience,femhrt,1,Recently switched from birth conrtol which kept my skin in shape to FemHRT for hormone replacement and guess what Acne I will be on the phone at the crack of dawn to my gynecologist to change me to something that will help my skin as birth control always did This is absolutely unacceptable to me,This is absolutely unacceptable to me
7,2,32,36,bad effect,Ethinyl estradiol / norethindrone,1,I have been on this pill for two years while on the pill everything was great I decided to come off because we are planning on having a child and now I have the most horrible acne I never had acne as a younger adult and now as a 28 yr old how embarrassing I would not recommend this pill to anyone,have the most horrible acne
8,2,54,61,negative experience,Ethinyl estradiol / norethindrone,1,I have been on this pill for two years while on the pill everything was great I decided to come off because we are planning on having a child and now I have the most horrible acne I never had acne as a younger adult and now as a 28 yr old how embarrassing I would not recommend this pill to anyone,I would not recommend this pill to anyone
9,3,30,42,bad effect,Accutane,1,I had heard that so many people had success with accutane and I especially saw the success my cousin had with it so I was really excited The first month I took it all the skin peeled off on my lips and face and I had to stop wearing contacts because it dried my eyes so bad and it made my acne the worst it s ever been I felt awful about myself I constantly tried to fix my hair so that it would cover my face and do anything to avoid going out in public I looked awful Accutane did this to me until the last month I was on it and then my face was semi clear but once I stopped it my acne came back the same 1 month of decent skin Only thing that helps me control acne is SULFER Pomada de Azufre bought at Walgreens,I took it all the skin peeled off on my lips and face
10,3,44,56,bad knock on effect,Accutane,1,I had heard that so many people had success with accutane and I especially saw the success my cousin had with it so I was really excited The first month I took it all the skin peeled off on my lips and face and I had to stop wearing contacts because it dried my eyes so bad and it made my acne the worst it s ever been I felt awful about myself I constantly tried to fix my hair so that it would cover my face and do anything to avoid going out in public I looked awful Accutane did this to me until the last month I was on it and then my face was semi clear but once I stopped it my acne came back the same 1 month of decent skin Only thing that helps me control acne is SULFER Pomada de Azufre bought at Walgreens,I had to stop wearing contacts because it dried my eyes so bad
11,3,58,63,made illness worse,Accutane,1,I had heard that so many people had success with accutane and I especially saw the success my cousin had with it so I was really excited The first month I took it all the skin peeled off on my lips and face and I had to stop wearing contacts because it dried my eyes so bad and it made my acne the worst it s ever been I felt awful about myself I constantly tried to fix my hair so that it would cover my face and do anything to avoid going out in public I looked awful Accutane did this to me until the last month I was on it and then my face was semi clear but once I stopped it my acne came back the same 1 month of decent skin Only thing that helps me control acne is SULFER Pomada de Azufre bought at Walgreens,it made my acne the worst
12,3,119,129,worse when off the drug,Accutane,1,I had heard that so many people had success with accutane and I especially saw the success my cousin had with it so I was really excited The first month I took it all the skin peeled off on my lips and face and I had to stop wearing contacts because it dried my eyes so bad and it made my acne the worst it s ever been I felt awful about myself I constantly tried to fix my hair so that it would cover my face and do anything to avoid going out in public I looked awful Accutane did this to me until the last month I was on it and then my face was semi clear but once I stopped it my acne came back the same 1 month of decent skin Only thing that helps me control acne is SULFER Pomada de Azufre bought at Walgreens,but once I stopped it my acne came back the same
13,4,77,85,stopped using,Benzoyl peroxide / clindamycin,1,I am 22 years old and in the last couple of years my skin has gone through some changes I have oily combo skin and acne prone I went to the dermatologist hoping for a simple fix product as I was only trying to control small breakouts I did not go in with terrible acne maybe like 3 active pimples He prescribed Onexton and Epiduo Told me to use Epiduo at night and Onexton during the day I had to stop using Epiduo after one week because it was so terribly drying it was changing my skin color I continued Onexton and my skin got so much WORSE I continued using for 3 weeks and decided to stop because my breakouts were out of control I ve never had skin this bad before Switching to an all natural routine Fingers crossed,I had to stop using Epiduo after one week
14,4,87,97,unbearable effect,Benzoyl peroxide / clindamycin,1,I am 22 years old and in the last couple of years my skin has gone through some changes I have oily combo skin and acne prone I went to the dermatologist hoping for a simple fix product as I was only trying to control small breakouts I did not go in with terrible acne maybe like 3 active pimples He prescribed Onexton and Epiduo Told me to use Epiduo at night and Onexton during the day I had to stop using Epiduo after one week because it was so terribly drying it was changing my skin color I continued Onexton and my skin got so much WORSE I continued using for 3 weeks and decided to stop because my breakouts were out of control I ve never had skin this bad before Switching to an all natural routine Fingers crossed,it was so terribly drying it was changing my skin color
15,4,104,107,bad effect,Benzoyl peroxide / clindamycin,1,I am 22 years old and in the last couple of years my skin has gone through some changes I have oily combo skin and acne prone I went to the dermatologist hoping for a simple fix product as I was only trying to control small breakouts I did not go in with terrible acne maybe like 3 active pimples He prescribed Onexton and Epiduo Told me to use Epiduo at night and Onexton during the day I had to stop using Epiduo after one week because it was so terribly drying it was changing my skin color I continued Onexton and my skin got so much WORSE I continued using for 3 weeks and decided to stop because my breakouts were out of control I ve never had skin this bad before Switching to an all natural routine Fingers crossed,got so much WORSE
16,4,115,124,stopped using,Benzoyl peroxide / clindamycin,1,I am 22 years old and in the last couple of years my skin has gone through some changes I have oily combo skin and acne prone I went to the dermatologist hoping for a simple fix product as I was only trying to control small breakouts I did not go in with terrible acne maybe like 3 active pimples He prescribed Onexton and Epiduo Told me to use Epiduo at night and Onexton during the day I had to stop using Epiduo after one week because it was so terribly drying it was changing my skin color I continued Onexton and my skin got so much WORSE I continued using for 3 weeks and decided to stop because my breakouts were out of control I ve never had skin this bad before Switching to an all natural routine Fingers crossed,decided to stop because my breakouts were out of control
